APT,Origin,TTPs
TA505,Unknown,"T1087.003,T1583.001,T1553.005,T1218.007,T1112,T1588.002,T1204.002,T1568.001,T1027.013,T1027.002,T1552.001,T1059.005,T1059.007,T1204.001,T1562.001,T1608.001,T1218.011,T1140,T1555.003,T1027.010,T1069,T1105,T1588.001,T1078.002,T1553.002,T1486,T1059.001,T1566.001,T1106,T1566.002,T1559.002,T1055.001,T1071.001,T1059.003"
Inception,Russia,"T1027.013,T1588.002,T1547.001,T1102,T1090.003,T1518,T1083,T1566.001,T1082,T1059.001,T1204.002,T1071.001,T1005,T1218.005,T1555.003,T1203,T1069.002,T1059.005,T1221,T1218.010,T1573.001,T1057"
admin@338,China,"T1566.001,T1016,T1036.005,T1083,T1069.001,T1049,T1087.001,T1203,T1007,T1204.002,T1082,T1059.003"
BlackTech,China,"T1566.002,T1204.001,T1588.003,T1046,T1588.002,T1190,T1021.004,T1106,T1203,T1566.001,T1036.002,T1574.001,T1204.002,T1588.004"
APT42,Iran,"T1059.001,T1518.001,T1036.005,T1070,T1056,T1583.001,T1132.001,T1530,T1059.005,T1113,T1016,T1087.001,T1585.002,T1053.005,T1656,T1070.008,T1056.001,T1102,T1082,T1071.001,T1583.003,T1573.002,T1047,T1539,T1608.001,T1588.002,T1111,T1547,T1112,T1566.002,T1555.003"
Malteiro,Brazil,"T1204.002,T1555.003,T1055.001,T1657,T1082,T1059.005,T1027.013,T1518.001,T1566.001,T1555,T1140,T1614.001"
Earth Lusca,China,"T1583.006,T1027.003,T1608.001,T1098.004,T1003.006,T1059.005,T1189,T1018,T1584.006,T1059.007,T1210,T1036.005,T1140,T1583.001,T1033,T1547.012,T1059.001,T1059.006,T1057,T1053,T1574.001,T1112,T1047,T1003.001,T1218.005,T1482,T1567.002,T1548.002,T1588.002,T1007,T1204.002,T1190,T1090,T1027,T1543.003,T1566.002,T1560.001,T1583.004,T1049,T1595.002,T1016,T1588.001,T1584.004,T1204.001"
Play,Unknown,"T1030,T1016,T1048,T1070.004,T1059.003,T1059.001,T1560.001,T1018,T1057,T1027.010,T1587.001,T1078.003,T1562.001,T1021.002,T1078,T1105,T1078.002,T1082,T1083,T1518.001,T1133,T1588.002,T1190,T1003.001,T1657,T1070.001"
Sandworm Team,Russia,"T1608.001,T1588.006,T1040,T1027.010,T1595.002,T1585.001,T1586.001,T1132.001,T1213,T1539,T1059.001,T1090,T1203,T1041,T1053.005,T1190,T1078.002,T1003.003,T1036,T1598.003,T1133,T1587.001,T1072,T1584.005,T1566.002,T1018,T1589.003,T1078,T1566.001,T1204.002,T1106,T1588.002,T1583.004,T1590.001,T1083,T1049,T1555.003,T1489,T1571,T1070.004,T1047,T1087.003,T1021.002,T1204.001,T1505.003,T1218.011,T1499,T1195.002,T1199,T1056.001,T1561.002,T1486,T1592.002,T1491.002,T1583,T1219,T1584.004,T1003.001,T1594,T1570,T1027,T1591.002,T1585.002,T1102.002,T1490,T1583.001,T1140,T1485,T1059.005,T1105,T1033,T1589.002,T1071.001,T1087.002,T1082,T1005,T1195,T1593,T1036.005,T1409,T1660,T0807,T0819,T0884"
TA577,Unknown,"T1059.007,T1059.003,T1027.009,T1586.002,T1204.001,T1566.002"
Turla,Russia,"T1584.006,T1112,T1069.001,T1140,T1588.002,T1059.007,T1134.002,T1562.001,T1059.005,T1546.013,T1583.006,T1055.001,T1105,T1555.004,T1090,T1068,T1615,T1049,T1106,T1071.003,T1021.002,T1547.001,T1005,T1012,T1007,T1110,T1570,T1189,T1584.004,T1087.002,T1564.012,T1120,T1567.002,T1102.002,T1071.001,T1124,T1087.001,T1204.001,T1090.001,T1546.003,T1560.001,T1059.003,T1057,T1016,T1587.001,T1025,T1518.001,T1059.001,T1027.010,T1059.006,T1213,T1018,T1588.001,T1069.002,T1027.011,T1547.004,T1553.006,T1566.002,T1016.001,T1102,T1082,T1584.003,T1036.005,T1055,T1078.003,T1201,T1083,T1027.005"
Suckfly,China,"T1059.003,T1078,T1046,T1003,T1553.002"
Ember Bear,Russia,"T1018,T1003,T1090.003,T1114,T1583,T1560,T1036,T1595.002,T1583.003,T1654,T1190,T1133,T1119,T1571,T1070.004,T1570,T1095,T1125,T1572,T1110,T1588.001,T1110.003,T1595.001,T1505.003,T1585,T1491.002,T1053.005,T1210,T1059.001,T1112,T1071.004,T1550.002,T1567.002,T1588.005,T1195,T1562.001,T1005,T1561.002,T1203,T1036.005,T1552.001,T1003.001,T1047,T1021,T1003.004,T1003.002,T1078.001,T1046"
TeamTNT,Unknown,"T1133,T1219,T1569.003,T1036.005,T1222.002,T1070.004,T1609,T1059.004,T1547.001,T1543.002,T1136.001,T1007,T1049,T1562.004,T1543.003,T1608.001,T1059.003,T1610,T1613,T1048,T1057,T1059.001,T1552.005,T1070.003,T1074.001,T1595.002,T1027.002,T1204.003,T1014,T1552.004,T1562.001,T1611,T1070.002,T1595.001,T1105,T1518.001,T1496.001,T1083,T1021.004,T1036,T1140,T1082,T1027.013,T1016,T1046,T1120,T1071,T1098.004,T1583.001,T1059.009,T1071.001,T1552.001,T1587.001,T1102"
