APT,Origin,TTPs
Mustang Panda,China,"T1016,T1608.001,T1047,T1573.001,T1204.001,T1049,T1059.005,T1053.005,T1598.003,T1564.001,T1218.005,T1585.002,T1219.002,T1218.004,T1560.001,T1071.001,T1566.002,T1091,T1059.003,T1052.001,T1560.003,T1070.004,T1057,T1082,T1203,T1608,T1566.001,T1083,T1518,T1583.001,T1574.001,T1546.003,T1003.003,T1027,T1547.001,T1119,T1105,T1074.001,T1059.001,T1027.016,T1204.002,T1036.007,T1102,T1036.005"
LAPSUS$,Unknown,"T1589,T1005,T1069.002,T1213.001,T1588.002,T1485,T1213.003,T1213.002,T1583.003,T1591.004,T1090,T1087.002,T1133,T1078,T1656,T1588.001,T1598.004,T1204,T1552.008,T1489,T1593.003,T1136.003,T1114.003,T1591.002,T1578.003,T1555.003,T1531,T1589.001,T1068,T1621,T1098.003,T1003.006,T1586.002,T1213.005,T1589.002,T1584.002,T1003.003,T1555.005,T1199,T1597.002,T1578.002,T1078.004,T1111,T1451"
Chimera,China,"T1574.001,T1074.002,T1053.005,T1569.002,T1041,T1078,T1550.002,T1071.001,T1106,T1556.001,T1070.001,T1071.004,T1482,T1560.001,T1021.006,T1083,T1087.002,T1057,T1021.002,T1059.001,T1003.003,T1074.001,T1213.002,T1135,T1036.005,T1570,T1007,T1027.010,T1016,T1046,T1033,T1087.001,T1572,T1078.002,T1069.001,T1124,T1201,T1049,T1059.003,T1070.004,T1110.003,T1114.001,T1039,T1119,T1133,T1110.004,T1082,T1114.002,T1012,T1588.002,T1567.002,T1070.006,T1018,T1589.001,T1047,T1021.001,T1111,T1217,T1105"
TA2541,Unknown,"T1608.001,T1547.001,T1573.002,T1562.001,T1105,T1568,T1036.005,T1518.001,T1053.005,T1027.002,T1082,T1588.001,T1218.005,T1588.002,T1204.001,T1583.001,T1055,T1059.001,T1027.013,T1016.001,T1055.012,T1047,T1204.002,T1059.005,T1566.002,T1027.015,T1566.001,T1583.006"
ToddyCat,China,"T1005,T1069.002,T1053.005,T1566.003,T1087.002,T1095,T1078.002,T1106,T1057,T1018,T1562.004,T1049,T1021.002,T1059.003,T1190,T1567.002,T1518.001,T1059.001,T1564.003,T1083,T1074.002,T1047,T1036.005,T1082,T1560.001"
BITTER,India,"T1105,T1071.001,T1588.002,T1568,T1566.001,T1204.002,T1027.013,T1573,T1068,T1036.004,T1608.001,T1559.002,T1203,T1583.001,T1053.005,T1095,T1660"
RTM,Russia,"T1189,T1547.001,T1574.001,T1204.002,T1566.001,T1219.002,T1102.001"
menuPass,China,"T1018,T1047,T1036,T1070.004,T1046,T1049,T1560.001,T1566.001,T1105,T1588.002,T1204.002,T1090.002,T1078,T1016,T1568.001,T1036.003,T1056.001,T1087.002,T1003.003,T1218.004,T1106,T1003.002,T1027.013,T1199,T1190,T1074.002,T1070.003,T1140,T1553.002,T1053.005,T1055.012,T1074.001,T1021.001,T1039,T1003.004,T1083,T1036.005,T1560,T1059.003,T1005,T1059.001,T1210,T1021.004,T1119,T1583.001,T1574.001"
Tropic Trooper,China,"T1543.003,T1070.004,T1566.001,T1105,T1057,T1204.002,T1573,T1071.001,T1564.001,T1221,T1033,T1046,T1016,T1052.001,T1547.001,T1505.003,T1573.002,T1059.003,T1106,T1574.001,T1083,T1027.013,T1036.005,T1132.001,T1078.003,T1547.004,T1203,T1071.004,T1119,T1055.001,T1020,T1135,T1082,T1518.001,T1140,T1049,T1027.003,T1518,T1091"
Mustard Tempest,Unknown,"T1583.008,T1608.001,T1036.005,T1566.002,T1584.001,T1608.006,T1608.004,T1189,T1204.001,T1082,T1583.004,T1105"
APT19,China,"T1547.001,T1059.001,T1564.003,T1016,T1033,T1218.011,T1112,T1189,T1543.003,T1071.001,T1059,T1027.013,T1566.001,T1204.002,T1082,T1132.001,T1588.002,T1574.001,T1218.010,T1140,T1027.010"
Moses Staff,Iran,"T1021.002,T1016,T1087.001,T1082,T1562.004,T1588.002,T1505.003,T1587.001,T1553.002,T1027.013,T1105,T1190"
Molerats,Palestine,"T1218.007,T1204.001,T1105,T1553.002,T1027.015,T1053.005,T1140,T1566.001,T1057,T1566.002,T1555.003,T1547.001,T1059.001,T1059.005,T1059.007,T1204.002"
Stealth Falcon,UAE,"T1555.004,T1059,T1555.003,T1555,T1057,T1016,T1573.001,T1012,T1071.001,T1033,T1047,T1005,T1041,T1059.001,T1053.005,T1082"
DarkVishnya,Unknown,"T1200,T1588.002,T1543.003,T1046,T1135,T1110,T1219,T1059.001,T1040,T1571"
APT37,North Korea,"T1547.001,T1120,T1059.006,T1105,T1071.001,T1027.003,T1102.002,T1082,T1204.002,T1036.001,T1548.002,T1033,T1555.003,T1529,T1005,T1559.002,T1106,T1203,T1055,T1027,T1189,T1057,T1059,T1059.003,T1566.001,T1123,T1059.005,T1053.005,T1561.002"
Threat Group-1314,Unknown,"T1021.002,T1059.003,T1072,T1078.002"
APT41,China,"T1078,T1082,T1195.002,T1069,T1562.006,T1595.003,T1059.001,T1014,T1087.002,T1555.003,T1036.005,T1543.003,T1071.002,T1018,T1027.002,T1553.002,T1596.005,T1588.002,T1098.007,T1021.002,T1037,T1136.001,T1542.003,T1087.001,T1071.001,T1070.001,T1135,T1599,T1480.001,T1484.001,T1595.002,T1005,T1133,T1070.004,T1566.001,T1053.005,T1547.001,T1546.008,T1110,T1550.002,T1574.006,T1059.003,T1003.002,T1568.002,T1569.002,T1071.004,T1046,T1560.001,T1218.011,T1102.001,T1008,T1555,T1496.001,T1003.003,T1049,T1059.004,T1486,T1016,T1033,T1105,T1203,T1218.001,T1112,T1090,T1003.001,T1213.003,T1197,T1012,T1083,T1656,T1055,T1021.001,T1190,T1570,T1027,T1104,T1030,T1047,T1056.001,T1070.003,T1036.004,T1574.001"
INC Ransom,Unknown,"T1486,T1562.001,T1021.001,T1657,T1047,T1566,T1059.003,T1537,T1087.002,T1074,T1071,T1046,T1569.002,T1219,T1588.002,T1036.005,T1570,T1069.002,T1135,T1190,T1070.004,T1078,T1105,T1560.001,T1049"
FIN13,Unknown,"T1587.001,T1078.001,T1572,T1021.006,T1133,T1087.002,T1046,T1505.003,T1082,T1016,T1090.001,T1565,T1059.001,T1053.005,T1136.001,T1003.002,T1003.003,T1190,T1589,T1036.004,T1021.002,T1003.001,T1564.001,T1552.001,T1657,T1588.002,T1134.003,T1105,T1071.001,T1550.002,T1059.003,T1547.001,T1016.001,T1036,T1059.005,T1098.007,T1574.001,T1021.001,T1590.004,T1135,T1560.001,T1140,T1556,T1047,T1021.004,T1074.001,T1056.001,T1036.005,T1049,T1083,T1005,T1069,T1087"
Group5,Iran,"T1056.001,T1113,T1070.004,T1027.013"
PLATINUM,China,"T1189,T1105,T1204.002,T1068,T1056.004,T1056.001,T1003.001,T1095,T1055,T1566.001,T1036"
GALLIUM,China,"T1059.003,T1003.002,T1078,T1053.005,T1027,T1553.002,T1041,T1005,T1574.001,T1588.002,T1047,T1136.002,T1583.004,T1133,T1027.002,T1505.003,T1003.001,T1560.001,T1059.001,T1570,T1027.005,T1090.002,T1049,T1074.001,T1033,T1190,T1016,T1105,T1018,T1550.002,T1036.003"
FIN10,Unknown,"T1070.004,T1570,T1033,T1059.003,T1078.003,T1547.001,T1053.005,T1588.002,T1021.001,T1059.001,T1078"
Winnti Group,China,"T1014,T1105,T1083,T1583.001,T1057,T1553.002"
FIN8,Unknown,"T1078,T1070.001,T1048.003,T1033,T1518.001,T1021.001,T1003.001,T1588.002,T1204.002,T1588.003,T1068,T1546.003,T1566.002,T1053.005,T1204.001,T1102,T1027.010,T1070.004,T1566.001,T1071.001,T1021.002,T1560.001,T1074.002,T1105,T1082,T1059.001,T1059.003,T1573.002,T1055.004,T1018,T1486,T1482,T1112,T1134.001,T1016.001,T1047"
Rocke,China,"T1190,T1014,T1027,T1102,T1562.004,T1059.004,T1082,T1071,T1105,T1496.001,T1027.004,T1574.006,T1564.001,T1053.003,T1059.006,T1046,T1055.002,T1102.001,T1037,T1027.002,T1070.002,T1547.001,T1222.002,T1057,T1543.002,T1018,T1140,T1562.001,T1552.004,T1070.004,T1071.001,T1571,T1021.004,T1070.006,T1036.005,T1518.001"
RedEcho,China,"T1568,T1071.001,T1571,T1573.002,T1583.001"
Saint Bear,Russia,"T1566.001,T1203,T1059.007,T1589.002,T1497,T1059.003,T1553.002,T1204.001,T1027.013,T1656,T1059.001,T1204.002,T1059,T1583.006,T1608.001,T1562.001,T1027.002,T1112"
Scattered Spider,Unknown,"T1598,T1553.002,T1556.009,T1580,T1003.003,T1087.002,T1484.002,T1564.008,T1539,T1552.004,T1538,T1486,T1133,T1204,T1556.006,T1083,T1219,T1657,T1213.003,T1098.003,T1621,T1213.005,T1068,T1530,T1217,T1006,T1136,T1018,T1567.002,T1598.004,T1074,T1021.007,T1578.002,T1552.001,T1114,T1656,T1451,T1660"
CURIUM,Iran,"T1566.003,T1505.003,T1204.002,T1584.006,T1583.003,T1082,T1608.004,T1048.002,T1005,T1585.001,T1585.002,T1124,T1598.003,T1189,T1566.001,T1059.001,T1583.001,T1041,T1583.004"
Windigo,Unknown,"T1082,T1005,T1518,T1090,T1059,T1083,T1189"
Blue Mockingbird,Unknown,"T1059.001,T1574.012,T1546.003,T1082,T1543.003,T1053.005,T1090,T1047,T1059.003,T1003.001,T1218.011,T1134,T1496.001,T1027.013,T1112,T1569.002,T1190,T1021.001,T1218.010,T1021.002,T1036.005,T1588.002"
RedCurl,Unknown,"T1027,T1564.001,T1102,T1114.001,T1039,T1080,T1204.002,T1005,T1119,T1083,T1059.003,T1059.001,T1036.005,T1566.001,T1059.005,T1560.001,T1573.001,T1071.001,T1087.003,T1587.001,T1087.001,T1056.002,T1082,T1204.001,T1573.002,T1053.005,T1020,T1199,T1537,T1202,T1552.001,T1218.011,T1087.002,T1566.002,T1552.002,T1070.004,T1547.001,T1555.003,T1059.006,T1003.001,T1046"
FIN4,Romania,"T1078,T1059.005,T1090.003,T1204.002,T1564.008,T1204.001,T1056.001,T1056.002,T1566.002,T1566.001,T1071.001,T1114.002"
Gorgon Group,Pakistan,"T1055.012,T1140,T1106,T1547.001,T1059.001,T1059.003,T1105,T1566.001,T1564.003,T1055.002,T1562.001,T1112,T1547.009,T1204.002,T1588.002,T1059.005"
Sidewinder,India,"T1203,T1518.001,T1218.005,T1598.003,T1124,T1566.002,T1074.001,T1057,T1059.007,T1027.013,T1020,T1105,T1547.001,T1071.001,T1559.002,T1083,T1016,T1598.002,T1027.010,T1059.001,T1518,T1059.005,T1082,T1119,T1566.001,T1036.005,T1204.001,T1204.002,T1033,T1574.001"
Higaisa,South Korea,"T1059.005,T1106,T1041,T1574.001,T1124,T1090.001,T1204.002,T1027.013,T1053.005,T1082,T1566.001,T1071.001,T1001.003,T1203,T1029,T1059.007,T1027.001,T1027.015,T1220,T1564.003,T1573.001,T1547.001,T1057,T1036.004,T1016,T1059.003,T1140"
APT30,China,"T1566.001,T1204.002"
Windshift,Unknown,"T1057,T1189,T1059.005,T1518.001,T1566.001,T1204.001,T1566.003,T1547.001,T1518,T1566.002,T1036.001,T1027,T1071.001,T1036,T1105,T1047,T1033,T1082,T1204.002,T1636.003,T1633.001,T1628.003,T1420,T1429,T1533,T1512,T1426,T1636.004,T1417.001,T1632.001,T1430,T1406,T1521.001,T1627.001,T1407"
Confucius,India,"T1566.002,T1204.001,T1567.002,T1221,T1059.005,T1566.001,T1203,T1082,T1105,T1119,T1583.006,T1071.001,T1041,T1218.005,T1083,T1547.001,T1053.005,T1204.002,T1059.001"
BlackByte,Unknown,"T1082,T1016,T1046,T1105,T1482,T1036.008,T1053.005,T1134.003,T1070.004,T1543.003,T1021.001,T1614.001,T1560,T1059.003,T1136.002,T1112,T1055.012,T1491.001,T1071.001,T1087.002,T1570,T1583.003,T1190,T1608.001,T1562,T1490,T1012,T1059.001,T1041,T1003,T1569.002,T1135,T1140,T1068,T1562.001,T1505.003,T1078,T1567,T1055,T1021.002,T1078.002,T1547.001,T1480,T1486,T1518.001,T1219,T1047,T1018,T1562.004"
Threat Group-3390,China,"T1068,T1030,T1190,T1046,T1053.002,T1055.012,T1074.001,T1203,T1567.002,T1003.001,T1059.003,T1555.005,T1566.001,T1012,T1003.004,T1027.015,T1204.002,T1033,T1608.001,T1505.003,T1547.001,T1027.013,T1543.003,T1199,T1016,T1105,T1056.001,T1059.001,T1562.002,T1078,T1608.004,T1588.002,T1018,T1583.001,T1189,T1140,T1003.002,T1133,T1005,T1087.001,T1195.002,T1548.002,T1119,T1560.002,T1027.002,T1588.003,T1047,T1071.001,T1070.005,T1021.006,T1574.001,T1070.004,T1608.002,T1112,T1210,T1074.002,T1049"
Tonto Team,China,"T1135,T1574.001,T1090.002,T1059.006,T1069.001,T1056.001,T1003,T1505.003,T1203,T1204.002,T1566.001,T1210,T1059.001,T1068,T1105"
Gamaredon Group,Russia,"T1491.001,T1583.003,T1001,T1534,T1047,T1083,T1119,T1036.005,T1027.004,T1105,T1021.005,T1027.016,T1218.011,T1566.001,T1082,T1059.005,T1113,T1005,T1039,T1608.001,T1102.003,T1112,T1016.001,T1559.001,T1562.001,T1025,T1221,T1140,T1204.001,T1080,T1106,T1561.001,T1033,T1564.003,T1070.004,T1059.001,T1588.002,T1020,T1071.001,T1583.001,T1568.001,T1120,T1041,T1053.005,T1027,T1057,T1027.010,T1204.002,T1568,T1547.001,T1480,T1059.003,T1218.005,T1137,T1102"
Agrius,Iran,"T1018,T1046,T1078.002,T1562.001,T1140,T1505.003,T1005,T1583,T1074.001,T1110.003,T1119,T1003.002,T1560.001,T1036,T1003.001,T1021.001,T1190,T1110,T1059.003,T1543.003,T1041,T1570"
Sea Turtle,Turkey,"T1583,T1074.002,T1070.002,T1562.003,T1114.001,T1583.002,T1608.003,T1584.002,T1583.003,T1588.004,T1560.001,T1564.011,T1588.002,T1190,T1078.003,T1203,T1566,T1133,T1213,T1583.001,T1027.004,T1059.004,T1505.003,T1078,T1071.001,T1199,T1557"
Rancor,China,"T1071.001,T1059.005,T1204.002,T1053.005,T1105,T1218.007,T1546.003,T1059.003,T1566.001"
Moonstone Sleet,North Korea,"T1587.001,T1033,T1071.001,T1585.002,T1589.002,T1140,T1591,T1053.005,T1547.001,T1204.002,T1566.001,T1027,T1583.003,T1105,T1016,T1598.003,T1003.001,T1608.001,T1598,T1195.002,T1569.002,T1583.001,T1217,T1566.003,T1486,T1585.001,T1587,T1082,T1027.013,T1027.009"
TA551,Unknown,"T1218.010,T1589.002,T1204.002,T1218.011,T1027.003,T1566.001,T1132.001,T1568.002,T1027.010,T1071.001,T1105,T1218.005,T1059.003,T1036"
Salt Typhoon,China,"T1590.004,T1562.004,T1572,T1587.001,T1048.003,T1098.004,T1040,T1602.002,T1110.002,T1070.002,T1021.004,T1588.002,T1136,T1190"
Axiom,China,"T1001.002,T1005,T1560,T1584.005,T1189,T1553,T1021.001,T1583.002,T1203,T1078,T1583.003,T1563.002,T1546.008,T1566,T1190,T1003"
Dark Caracal,Lebanon,"T1027.013,T1059.003,T1071.001,T1204.002,T1027.002,T1218.001,T1189,T1547.001,T1083,T1566.003,T1005,T1113,T1437.001"
Nomadic Octopus,Russia,"T1059.003,T1036,T1566.001,T1204.002,T1105,T1564.003,T1059.001"
APT12,China,"T1204.002,T1102.002,T1568.003,T1203,T1566.001"
APT3,China,"T1053.005,T1104,T1110.002,T1564.003,T1555.003,T1059.003,T1016,T1049,T1090.002,T1218.011,T1027,T1566.002,T1098.007,T1204.001,T1041,T1552.001,T1074.001,T1078.002,T1005,T1203,T1021.002,T1574.001,T1087.001,T1070.004,T1083,T1546.008,T1560.001,T1082,T1059.001,T1543.003,T1003.001,T1547.001,T1021.001,T1057,T1095,T1069,T1018,T1056.001,T1036.010,T1027.002,T1136.001,T1105,T1033,T1027.005"
Putter Panda,China,"T1547.001,T1562.001,T1055.001,T1027.013"
Metador,Unknown,"T1071.001,T1059.003,T1588.001,T1546.003,T1027.013,T1070.004,T1095,T1588.002,T1105"
TA459,China,"T1566.001,T1203,T1059.005,T1204.002,T1059.001"
ZIRCONIUM,China,"T1082,T1598,T1012,T1665,T1059.003,T1583.006,T1584.008,T1555.003,T1059.006,T1547.001,T1573.001,T1124,T1140,T1598.003,T1566.002,T1583.001,T1033,T1090.003,T1041,T1036,T1567.002,T1027.002,T1204.001,T1036.004,T1068,T1218.007,T1105,T1016,T1102.002"
APT1,China,"T1003.001,T1057,T1005,T1550.002,T1583.001,T1560.001,T1119,T1114.002,T1566.002,T1016,T1114.001,T1588.001,T1049,T1585.002,T1584.001,T1036.005,T1087.001,T1566.001,T1135,T1059.003,T1588.002,T1007,T1021.001"
Naikon,China,"T1078.002,T1018,T1547.001,T1518.001,T1046,T1047,T1137.006,T1016,T1036.005,T1566.001,T1036.004,T1053.005,T1204.002,T1574.001"
Sowbug,Unknown,"T1083,T1039,T1560.001,T1059.003,T1056.001,T1135,T1036.005,T1003,T1082"
Mofang,China,"T1566.002,T1204.001,T1566.001,T1027.013,T1204.002,T1027.015"
Machete,Unknown,"T1204.002,T1566.002,T1059.003,T1059.005,T1059.006,T1053.005,T1036.005,T1204.001,T1189,T1566.001,T1218.007"
FIN5,Unknown,"T1090.002,T1070.004,T1074.001,T1059,T1018,T1119,T1110,T1588.002,T1133,T1070.001,T1078"
Winter Vivern,Unknown,"T1059,T1071.001,T1056.003,T1033,T1583.003,T1059.007,T1566.001,T1036.004,T1113,T1189,T1119,T1140,T1020,T1105,T1190,T1595.002,T1041,T1053.005,T1584.006,T1036,T1583.001,T1082,T1059.003,T1204.001,T1083,T1114.001,T1059.001"
SideCopy,Pakistan,"T1614,T1518.001,T1584.001,T1105,T1016,T1608.001,T1106,T1059.005,T1518,T1566.001,T1574.001,T1204.002,T1082,T1598.002,T1036.005,T1218.005"
APT33,Iran,"T1552.001,T1003.005,T1560.001,T1555.003,T1552.006,T1027.013,T1566.001,T1003.001,T1566.002,T1110.003,T1003.004,T1053.005,T1555,T1546.003,T1105,T1048.003,T1588.002,T1040,T1071.001,T1059.001,T1547.001,T1078,T1573.001,T1059.005,T1132.001,T1571,T1078.004,T1203,T1204.002,T1204.001,T1068,T0852,T0865,T0853"
Lotus Blossom,China,"T1016,T1543.003,T1087.002,T1074.001,T1134,T1087.001,T1090.001,T1539,T1112,T1049,T1047,T1482,T1016.001,T1090.003,T1588.002,T1018,T1083,T1560.003,T1560.001,T1046,T1012"
GOLD SOUTHFIELD,Russia,"T1199,T1190,T1113,T1219,T1195.002,T1027.010,T1133,T1059.001,T1566"
Volatile Cedar,Lebanon,"T1595.002,T1595.003,T1505.003,T1105,T1190"
Evilnum,Unknown,"T1497.001,T1219.002,T1539,T1566.002,T1548.002,T1070.004,T1574.001,T1204.001,T1555,T1105,T1059.007"
Cleaver,Iran,"T1003.001,T1557.002,T1588.002,T1587.001,T1585.001"
TEMP.Veles,Russia,"T0862,T0817"
DarkHydrus,Iran,"T1204.002,T1187,T1564.003,T1059.001,T1566.001,T1221,T1588.002"
Whitefly,Unknown,"T1105,T1574.001,T1003.001,T1068,T1588.002,T1059,T1027.013,T1204.002,T1036.005"
Silent Librarian,Iran,"T1588.004,T1594,T1114,T1598.003,T1589.003,T1114.003,T1585.002,T1589.002,T1608.005,T1110.003,T1583.001,T1588.002,T1078"
APT18,China,"T1078,T1027.013,T1133,T1070.004,T1053.002,T1105,T1071.004,T1082,T1071.001,T1083,T1059.003,T1547.001"
Carbanak,Unknown,"T1562.004,T1036.004,T1218.011,T1078,T1102.002,T1543.003,T1219,T1036.005,T1588.002"
Orangeworm,Unknown,"T1071.001,T1021.002"
Deep Panda,China,"T1057,T1018,T1505.003,T1027.005,T1218.010,T1564.003,T1059.001,T1546.008,T1047,T1021.002"
APT-C-36,South America,"T1204.002,T1036.004,T1588.002,T1027,T1053.005,T1105,T1059.005,T1571,T1566.001"
The White Company,Unknown,"T1027.002,T1518.001,T1203,T1070.004,T1566.001,T1204.002,T1124"
Poseidon Group,Brazil,"T1049,T1003,T1007,T1087.002,T1087.001,T1057,T1036.005,T1059.001"
LazyScripter,Unknown,"T1204.001,T1218.005,T1608.001,T1204.002,T1102,T1059.007,T1583.001,T1059.005,T1071.004,T1588.001,T1105,T1036,T1566.001,T1059.001,T1059.003,T1027.010,T1547.001,T1218.011,T1566.002,T1583.006"
Gallmaker,Unknown,"T1204.002,T1027,T1560.001,T1559.002,T1059.001,T1566.001"
MoustachedBouncer,Unknown,"T1059.001,T1059.007,T1027.002,T1113,T1090,T1068,T1074.002,T1659,T1655.001"
CopyKittens,Iran,"T1560.003,T1560.001,T1059.001,T1090,T1218.011,T1564.003,T1588.002,T1553.002"
Star Blizzard,Russia,"T1583.001,T1114.002,T1550.004,T1204.002,T1608.001,T1539,T1589,T1585.002,T1566.001,T1598.002,T1598.003,T1588.002,T1583,T1114.003,T1585.001,T1078,T1586.002,T1059.007,T1593"
Thrip,Unknown,"T1059.001,T1048.003,T1219.002,T1588.002"
PROMETHIUM,Turkey,"T1204.002,T1587.002,T1078.003,T1587.003,T1547.001,T1543.003,T1036.005,T1036.004,T1553.002,T1205.001,T1189"
GCMAN,Russia,"T1021.005,T1021.004"
Ferocious Kitten,Iran,"T1204.002,T1036.002,T1036.005,T1566.001,T1588.002,T1583.001"
PittyTiger,China,"T1588.002,T1078"
APT17,China,"T1583.006,T1585"
BlackOasis,Middle East,T1027
IndigoZebra,China,"T1583.001,T1588.002,T1583.006,T1586.002,T1566.001,T1204.002,T1105"
SilverTerrier,Nigeria,"T1071.003,T1071.001,T1071.002,T1657"
Strider,USA,"T1090.001,T1556.002,T1564.005"
Scarlet Mimic,China,T1036.002
TA578,Unknown,"T1204.001,T1594,T1583.006,T1059.007"
APT16,China,T1584.004
Moafee,China,T1027.001
APT-C-23,Unknown,"T1422,T1655.001,T1660"
